date,first_mile_split,comment,season
05/12/2023,7:28,Alt. route. Tracked with watch. Had to pause at red light.,2
05/11/2023,7:41,Alt. route. Tracked with watch.,2
04/28/2023,7:29,Alt. route.,2
04/27/2023,7:47,,2
04/14/2023,7:46,,2
04/6/2023,8:13,,2
11/10/2022,7:49,Same alternate route as before.,1
11/3/2022,7:52,Changed route to avoid detours and finish mile before last uphill section.,1
10/28/2022,8:10,Unexpected detours because of closed sidewalks.,1
10/20/2022,9:32,Under the weather.,1
10/19/2022,8:01,,1
10/18/2022,8:13,Strong headwind but I could reduce parachute effect somewhat by opening mesh part of roof to let air blow through the roof.,1
10/17/2022,8:47,Strong headwind with light snow. The stroller roof acted like a parachute. The block of under-construction gravel road finally got paved over.,1
10/14/2022,7:52,,1
10/10/2022,7:56,,1
10/6/2022,8:00,,1
10/5/2022,8:13,,1
10/4/2022,9:18,,1
10/3/2022,8:25,Had to be back home for an appointment.,1
9/30/2022,8:47,,1
9/29/2022,9:12,I think I got the idea to compete with myself here.,1
9/28/2022,9:27,,1
9/26/2022,9:47,,1
9/23/2022,9:49,,1
9/21/2022,10:06,,1
9/19/2022,9:27,,1
9/16/2022,10:25,,1
9/14/2022,10:36,,1
9/13/2022,10:44,,1
9/12/2022,9:54,Raining.,1
